workload,trace_id,scale_selected,node_id,call_index,trace_llm_calls,prompt_qwen36_tokens,input_nemotron_tokens,output_recorded_tokens,output_reasoning_tokens,output_nonreasoning_tokens,output_unknown_tokens,capture_llm_phase_seconds
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-024,24,29,168814,175240,71,15,56,0,1.3889999389648438
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-025,25,29,168983,175407,87,36,51,0,1.6180000305175781
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-026,26,29,170958,177425,75,21,54,0,1.4950001239776611
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-027,27,29,179778,186438,75,21,54,0,1.7149999141693115
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-028,28,29,204415,212017,444,388,56,0,6.480999946594238
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-029,29,29,204889,212498,7572,7145,427,0,88.98900008201599
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-001,1,18,7092,7706,153,99,54,0,2.187000036239624
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-002,2,18,10188,10827,85,42,43,0,1.3450000286102295
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-003,3,18,17481,17892,97,44,53,0,1.5380001068115234
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-004,4,18,18539,18954,73,27,46,0,1.1499998569488525
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-005,5,18,20891,21407,67,17,50,0,1.2590000629425049
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-006,6,18,28286,28878,132,78,54,0,2.047999858856201
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-007,7,18,28713,29300,69,19,50,0,1.1119999885559082
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-008,8,18,28880,29455,62,8,54,0,1.0299999713897705
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-009,9,18,31920,32548,127,74,53,0,2.0739998817443848
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-010,10,18,32229,32861,107,17,90,0,1.5369999408721924
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-011,11,18,32683,33327,107,51,56,0,1.565999984741211
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-012,12,18,32864,33494,104,52,52,0,1.5130000114440918
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-013,13,18,35851,36513,101,58,43,0,1.8399999141693115
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-014,14,18,42380,42930,100,45,55,0,1.628999948501587
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-015,15,18,42557,43095,114,61,53,0,1.625
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-016,16,18,42731,43257,120,66,54,0,1.7090001106262207
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-017,17,18,42908,43422,112,55,57,0,1.6340000629425049
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,True,llm-018,18,18,45855,46414,365,207,158,0,4.674999952316284
openclaw,87c610df-bef7-4932-b950-1d83ef4e282b,True,llm-001,1,7,7070,7672,121,74,47,0,7.319999933242798
openclaw,87c610df-bef7-4932-b950-1d83ef4e282b,True,llm-002,2,7,9823,10450,73,21,52,0,1.2250001430511475
openclaw,87c610df-bef7-4932-b950-1d83ef4e282b,True,llm-003,3,7,16368,17185,560,514,46,0,6.925000190734863
openclaw,87c610df-bef7-4932-b950-1d83ef4e282b,True,llm-004,4,7,19559,20412,145,92,53,0,2.075000047683716
openclaw,87c610df-bef7-4932-b950-1d83ef4e282b,True,llm-005,5,7,26920,27791,131,88,43,0,2.0330002307891846
openclaw,87c610df-bef7-4932-b950-1d83ef4e282b,True,llm-006,6,7,29764,30664,196,143,53,0,2.686000108718872
openclaw,87c610df-bef7-4932-b950-1d83ef4e282b,True,llm-007,7,7,37901,38847,289,120,169,0,4.0279998779296875
openclaw,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,True,llm-001,1,8,7151,7764,203,135,68,0,2.7279999256134033
openclaw,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,True,llm-002,2,8,10200,10926,108,22,86,0,1.6119999885559082
openclaw,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,True,llm-003,3,8,16250,17001,1095,757,338,0,12.978000164031982
openclaw,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,True,llm-004,4,8,17086,17851,669,340,329,0,7.95799994468689
openclaw,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,True,llm-005,5,8,17501,18262,156,26,130,0,2.0309998989105225
openclaw,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,True,llm-006,6,8,17710,18467,592,301,291,0,7.062999963760376
openclaw,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,True,llm-007,7,8,18104,18865,67,30,37,0,1.0959999561309814
openclaw,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,True,llm-008,8,8,18163,18919,274,17,257,0,3.4189999103546143
openclaw,5d0080cb-90d7-4712-bc33-848150e917d3,True,llm-001,1,5,7103,7706,118,59,59,0,1.7710001468658447
openclaw,5d0080cb-90d7-4712-bc33-848150e917d3,True,llm-002,2,5,10057,10743,110,47,63,0,1.6570000648498535
openclaw,5d0080cb-90d7-4712-bc33-848150e917d3,True,llm-003,3,5,34499,36144,85,26,59,0,1.9769999980926514
openclaw,5d0080cb-90d7-4712-bc33-848150e917d3,True,llm-004,4,5,35179,36830,125,67,58,0,1.7710001468658447
openclaw,5d0080cb-90d7-4712-bc33-848150e917d3,True,llm-005,5,5,35617,37261,89,47,42,0,1.374000072479248
openclaw,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,True,llm-001,1,4,7090,7694,94,42,52,0,1.4679999351501465
openclaw,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,True,llm-002,2,4,10155,10830,147,99,48,0,2.066999912261963
openclaw,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,True,llm-003,3,4,12044,12750,122,80,42,0,1.8480000495910645
openclaw,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,True,llm-004,4,4,12699,13417,196,99,97,0,2.5339999198913574
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,True,llm-001,1,10,7039,7651,157,101,56,0,2.2360000610351562
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,True,llm-002,2,10,9907,10565,132,89,43,0,1.8819999694824219
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,True,llm-003,3,10,12753,13460,52,16,36,0,0.9750001430511475
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,True,llm-004,4,10,18146,18982,176,130,46,0,2.4099998474121094
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,True,llm-005,5,10,20765,21618,100,55,45,0,1.625
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,True,llm-006,6,10,21666,22523,83,36,47,0,1.2200000286102295
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,True,llm-007,7,10,26123,27154,155,98,57,0,2.1660001277923584
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,True,llm-008,8,10,29024,30105,97,50,47,0,1.5529999732971191
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,True,llm-009,9,10,34024,35218,94,50,44,0,1.568000078201294
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,True,llm-010,10,10,58169,60375,1318,1135,183,0,16.269999980926514
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-001,1,25,7112,7725,170,22,148,0,2.997999906539917
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-002,2,25,7288,7906,248,35,213,0,3.1019999980926514
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-003,3,25,7953,8588,487,23,464,0,5.937000036239624
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-004,4,25,9339,9917,725,66,659,0,8.537000179290771
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-005,5,25,12148,12604,421,92,329,0,5.242999792098999
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-006,6,25,26262,26073,672,92,580,0,8.418999910354614
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-007,7,25,26887,26705,344,14,330,0,4.236999988555908
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-008,8,25,27469,27285,620,52,568,0,7.431999921798706
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-009,9,25,28548,28334,513,159,354,0,6.302999973297119
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-010,10,25,34418,33868,1130,179,951,0,13.648000001907349
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-011,11,25,38514,37990,1184,312,872,0,14.143999814987183
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-012,12,25,44343,43699,1589,1061,528,0,18.93499994277954
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-013,13,25,45923,45206,2166,121,2045,0,25.5239999294281
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-014,14,25,51333,50470,547,115,432,0,6.931999921798706
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-015,15,25,52955,51996,1341,521,820,0,16.049000024795532
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-016,16,25,53841,52876,757,179,578,0,9.35699987411499
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-017,17,25,55434,54458,722,114,608,0,8.70199990272522
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-018,18,25,56408,55424,684,43,641,0,8.549999952316284
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-019,19,25,58610,57931,713,221,492,0,8.801000118255615
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-020,20,25,59808,59226,459,86,373,0,6.062999963760376
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-021,21,25,61092,60525,493,58,435,0,6.038000106811523
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-022,22,25,61891,61343,468,105,363,0,6.058000087738037
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-023,23,25,63176,62573,493,84,409,0,6.151000022888184
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-024,24,25,77836,76609,1056,140,916,0,13.062000036239624
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,True,llm-025,25,25,79101,,1669,,,1669,11.882999897003174
openclaw,00d579ea-0889-4fd9-a771-2c8d79835c8d,True,llm-001,1,4,7110,7712,131,77,54,0,1.8970000743865967
openclaw,00d579ea-0889-4fd9-a771-2c8d79835c8d,True,llm-002,2,4,8894,9535,102,45,57,0,1.5179998874664307
openclaw,00d579ea-0889-4fd9-a771-2c8d79835c8d,True,llm-003,3,4,11795,12487,79,46,33,0,1.311999797821045
openclaw,00d579ea-0889-4fd9-a771-2c8d79835c8d,True,llm-004,4,4,14467,15223,206,105,101,0,2.7769999504089355
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-001,1,55,7089,7693,145,99,46,0,2.1110000610351562
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-002,2,55,10427,11083,73,27,46,0,1.2839999198913574
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-003,3,55,13361,14068,259,213,46,0,3.3329999446868896
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-004,4,55,23615,24153,119,43,76,0,1.8829998970031738
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-005,5,55,26575,27153,81,31,50,0,1.312999963760376
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-006,6,55,34525,35242,1001,953,48,0,12.200999975204468
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-007,7,55,36110,36852,93,49,44,0,1.7109999656677246
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-008,8,55,38790,39552,240,196,44,0,3.3589999675750732
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-009,9,55,41395,42171,65,21,44,0,1.250999927520752
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-010,10,55,43989,44818,240,194,46,0,3.2289998531341553
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-011,11,55,46657,47543,239,193,46,0,3.187000036239624
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-012,12,55,49326,50263,125,78,47,0,2.1389999389648438
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-013,13,55,52028,53015,73,25,48,0,1.315999984741211
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-014,14,55,54638,55697,111,63,48,0,1.751000165939331
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-015,15,55,57309,58438,78,31,47,0,1.4130001068115234
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-016,16,55,59967,61138,919,858,61,0,11.055999994277954
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-017,17,55,63113,64324,81,27,54,0,1.377000093460083
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-018,18,55,83926,86022,84,28,56,0,1.9769999980926514
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-019,19,55,84103,86189,60,15,45,0,1.2999999523162842
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-020,20,55,87021,89156,703,643,60,0,8.707000017166138
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-021,21,55,87208,89333,82,21,61,0,1.3849999904632568
