cc,minute_start,minute_end,samples,sampled_span_s,output_tokens_per_s,prompt_tokens_per_s,prefix_hit_percent,prompt_reuse_percent,prefix_query_amplification,prefill_compute_tokens_per_s,preemptions,recomputed_tokens,backend_running_mean,backend_waiting_mean,kv_mean_percent,completed_tasks
2,3,4,60,59.16866135597229,142.3050616160359,13983.855322028245,96.7418655412216,96.7418655412216,1.0,455.6128089127193,0.0,0.0,0.9666666666666667,0.0,1.4232570956186286,0
2,4,5,59,58.156928062438965,91.68297187697759,10388.547334400982,94.29726267284157,94.29726267284157,1.0,592.4315665884069,0.0,0.0,0.6610169491525424,0.0,0.6552675948456647,2
2,5,6,60,59.19856142997742,177.06511352304662,15087.393653247103,95.59134391458565,95.59134391458565,1.0,665.1512984242972,0.0,0.0,1.4,0.0,1.2873151465050063,0
2,6,7,60,59.15408205986023,182.65856934549362,17699.116671957257,96.57537190477328,96.57537190477328,1.0,606.1289221548055,0.0,0.0,1.3666666666666667,0.0,2.145678331955544,0
2,7,8,60,59.18865251541138,137.8304734657685,25531.583095366517,97.69107584801282,97.69107584801282,1.0,589.5048884735958,0.0,0.0,1.0333333333333334,0.0,1.9362542481859109,1
2,8,9,60,59.16619634628296,158.8237977138504,24003.08094318151,97.06500402831728,97.07338059994184,1.0173225618605084,702.4788234948137,0.0,0.0,1.3833333333333333,0.0,2.3881693763203815,0
2,9,10,60,59.158581018447876,164.62531440642587,17399.72430506763,96.94727607804201,96.94727607804201,1.0,531.1655462155376,0.0,0.0,1.2333333333333334,0.0,2.445577294020392,1
2,10,11,59,58.15714907646179,169.91892066455483,23651.021789111437,96.84967240431676,96.84967240431676,1.0,745.0846660834336,0.0,0.0,1.3728813559322033,0.0,2.4263115860464897,0
2,11,12,60,59.16251182556152,159.74642908783053,35023.749601935255,98.02726035945298,98.02726035945298,1.0,690.9273920033064,0.0,0.0,1.2666666666666666,0.0,2.9921006705244793,0
2,12,13,60,59.159286975860596,117.51324864406665,35003.9884835829,98.52140055273031,98.52140055273031,1.0,517.5687802406037,0.0,0.0,0.8166666666666667,0.0,2.1819601359419494,0
2,13,14,60,59.154483795166016,137.9608015557884,20357.915795022283,99.08807219691396,99.08807219691396,1.0,185.64949426365254,0.0,0.0,0.9333333333333333,0.0,2.86350693487646,0
2,14,15,60,59.16714072227478,74.3825026235068,25337.932198498198,98.6143693889898,98.6143693889898,1.0,351.0901447394017,0.0,0.0,0.55,0.0,1.9555433085331129,0
2,15,16,60,59.16900944709778,49.68817337779864,20640.80523592244,97.79250894132134,97.79250894132134,1.0,455.64393002226234,0.0,0.0,0.3,0.0,0.6379167814825017,2
2,16,17,59,58.163525104522705,151.55546339667364,15773.493754914472,94.03886022222659,94.03886022222659,1.0,940.2800105688125,0.0,0.0,1.2203389830508475,0.0,1.0489886087123037,0
2,17,18,60,59.16570734977722,177.04512409652517,30626.16980623021,97.93539692464593,97.93539692464593,1.0,632.3088436825874,0.0,0.0,1.25,0.0,2.13235969504914,0
2,18,19,60,59.20055150985718,126.09679824954065,35320.24527933396,97.97520586060685,97.97520586060685,1.0,715.1622564352381,0.0,0.0,0.9,0.0,1.9817213190043166,1
2,19,20,60,59.25317406654358,205.5248548596509,14186.666170085142,96.29064780723408,96.29064780723408,1.0,526.2334126604347,0.0,0.0,1.5666666666666667,0.0,2.5617709194452103,0
2,20,21,60,59.1668746471405,200.90633603501468,19768.12206112575,98.23104637582527,98.23104637582527,1.0,349.6889116315684,0.0,0.0,1.5333333333333334,0.0,2.8488105079452564,1
2,21,22,59,58.161858797073364,176.81690738050276,6388.774493890446,92.64578842412058,92.64578842412058,1.0,469.84399338652264,0.0,0.0,1.2881355932203389,0.0,1.1185786811513667,0
2,22,23,60,59.315590620040894,224.9155721209744,8411.110717852886,95.88262412058288,95.88262412058288,1.0,346.3170438879436,0.0,0.0,1.7,0.0,1.9440617249931118,0
2,23,24,60,59.169694900512695,201.36997528944093,17728.17997056988,97.1466322710542,97.1466322710542,1.0,505.8501662096732,0.0,0.0,1.6166666666666667,0.0,2.669238541379627,0
2,24,25,60,59.16852140426636,173.7072307380475,29415.20184539383,98.01856297264966,98.01856297264966,1.0,582.8437010344724,0.0,0.0,1.5,0.0,3.177183797189307,0
2,25,26,60,59.16635012626648,144.5585198638602,26170.838604975637,97.82999974813247,97.82999974813247,1.0,567.9072636438169,0.0,0.0,1.0833333333333333,0.0,2.8607513548268573,1
2,26,27,59,58.161375761032104,193.2554010789194,15486.13643014033,96.54368551942592,96.37357818129334,0.9982380273011396,561.5926303772904,0.0,0.0,1.576271186440678,0.0,3.392632793270779,0
2,27,28,60,59.27207827568054,166.65519899701178,32979.0022024929,98.45636286062451,98.45636286062451,1.0,509.07612619313966,0.0,0.0,1.3833333333333333,0.0,3.1018646091668964,0
2,28,29,60,59.19796681404114,183.75631099242165,31205.73390304067,98.29352422649941,98.29352422649941,1.0,532.5182889984465,0.0,0.0,1.55,0.0,4.710204831450353,0
2,29,30,60,59.165668964385986,112.21034285940823,22773.1389433126,97.65383096776876,97.65383096776876,1.0,534.2963335549952,0.0,0.0,0.7333333333333333,0.0,1.69238541379627,2
4,0,1,60,59.16024470329285,241.6825703089794,39288.17420646385,97.11531328593841,97.11319288662641,1.014948599534139,1134.173807706805,0.0,0.0,2.3666666666666667,0.0,3.4003857812069445,1
4,1,2,60,59.167290449142456,251.3888989522855,26532.07520715109,95.82381797785877,95.82381797785877,1.0,1108.0277549020361,0.0,0.0,2.433333333333333,0.0,3.6093506016349766,1
4,2,3,60,59.23564410209656,217.28471421389423,21181.706032223112,94.05186210062548,94.05186210062548,1.0,1259.9170842367612,0.0,0.0,2.2333333333333334,0.0,1.991825112519519,2
4,3,4,59,58.17701077461243,304.58766726001573,30489.65521573443,96.59278936653969,96.59278936653969,1.0,1038.84677461589,0.0,0.0,2.983050847457627,0.0,4.2926332603182455,0
4,4,5,60,59.16128969192505,264.9874619305292,46811.656987558905,97.72841998990408,97.72841998990408,1.0,1063.364242524054,0.0,0.0,2.65,0.0,5.146045742628823,1
4,5,6,60,59.16285181045532,292.818879919823,41987.3607167971,97.49783824431623,97.49783824431623,1.0,1050.5916820766865,0.0,0.0,2.933333333333333,0.0,5.704969229356114,0
4,6,7,60,59.16920518875122,277.9824394721963,50054.46651771235,97.9979794026224,97.98104658736266,1.0196563913153434,1010.5763599367691,0.0,0.0,2.9166666666666665,0.0,7.048314503536328,0
4,7,8,60,59.16720271110535,222.35291508095403,57243.57151946767,98.29043426193894,98.29043426193894,1.0,978.6164859392977,0.0,0.0,2.25,0.0,5.8946449894369435,1
4,8,9,60,59.16738700866699,203.43977668367862,45270.64883915931,98.08784318059126,98.08784318059126,1.0,865.6457989685679,0.0,0.0,1.9,0.0,4.542573711766326,1
4,9,10,59,58.163665533065796,229.21526485329255,19561.93767315385,96.94127407949067,96.94127407949067,1.0,598.3460581626379,0.0,0.0,1.7457627118644068,0.0,2.0157768634026287,1
4,10,11,60,59.16458320617676,251.45110797377927,30819.82329945043,96.85857844669586,96.85857844669586,1.0,968.1805718191856,0.0,0.0,2.433333333333333,0.0,3.166161476990905,1
4,11,12,60,59.16080117225647,310.9153296697728,25762.514533267393,96.47989575699202,96.47989575699202,1.0,906.8673671910938,0.0,0.0,3.1333333333333333,0.0,4.361623955175898,0
4,12,13,60,59.163416624069214,339.68626470135297,31597.904696387384,97.96042814546698,97.97757617254365,1.0105544976035605,639.0435535566877,0.0,0.0,3.4166666666666665,0.0,5.87765224579774,0
4,13,14,60,59.168633222579956,276.98797669278633,30556.612541626753,96.37205453782177,96.37205453782177,1.0,1108.577238099331,0.0,0.0,2.75,0.0,3.965279691375037,1
4,14,15,60,59.16928768157959,334.32885159032384,25728.364488557585,96.54650135440838,96.55941652559991,1.014862753057979,885.205856826731,0.0,0.0,3.5166666666666666,0.0,6.673555616790666,0
4,15,16,59,58.15557813644409,261.1443388004569,40070.91107464465,98.17525029534228,98.17525029534228,1.0,731.1938314882352,0.0,0.0,2.5254237288135593,0.0,6.087963719752839,2
4,16,17,60,59.16513514518738,252.0572286939677,28727.83094011501,96.7039794409085,96.7039794409085,1.0,946.8752139672405,0.0,0.0,2.4833333333333334,0.0,5.2847432717920455,1
