workload,physical_nodes,minute,per_replica_tokens_s,prompt_reuse_pct
openclaw,4,22.5,407.95,92.31418461971282
openclaw,4,23.5,424.35833333333335,94.28894930278462
openclaw,4,24.5,438.65,94.72794564052583
openclaw,4,25.5,432.15833333333336,93.57453563773016
openclaw,4,26.5,492.525,95.3960369196119
openclaw,4,27.5,450.4583333333333,92.64723483367511
openclaw,4,28.5,460.225,94.11510831754708
openclaw,4,29.5,461.21666666666664,93.9943564051284
openclaw,4,30.5,449.85,94.1076300404737
openclaw,4,31.5,412.35,94.74308820365778
openclaw,4,32.5,423.46666666666664,95.50591784647654
openclaw,4,33.5,423.5416666666667,94.71509549967685
openclaw,4,34.5,373.8666666666667,93.52659016457052
openclaw,4,35.5,412.0,94.56300712132342
openclaw,4,36.5,428.575,94.74592342727458
openclaw,4,37.5,435.48333333333335,93.03486064168774
openclaw,4,38.5,446.225,91.88630921887756
openclaw,4,39.5,404.3333333333333,91.21889228810069
openclaw,4,40.5,404.90833333333336,93.9021097506298
openclaw,4,41.5,412.3333333333333,94.83286232501789
openclaw,4,42.5,428.09166666666664,95.00944540696393
openclaw,4,43.5,402.84166666666664,94.58700949101012
openclaw,4,44.5,438.525,94.93944022589413
openclaw,4,45.5,471.15,91.91407182782231
openclaw,4,46.5,492.15,92.19695746515814
openclaw,4,47.5,441.35,91.01331276715851
openclaw,4,48.5,420.90833333333336,93.02197618442149
openclaw,4,49.5,475.5416666666667,93.76712503579513
openclaw,4,50.5,466.25,93.18239000040256
openclaw,4,51.5,417.40833333333336,92.07188097821964
openclaw,4,52.5,438.975,93.49696057320351
openclaw,4,53.5,468.43333333333334,95.05701734406519
openclaw,4,54.5,475.1,95.49044793913933
openclaw,4,55.5,456.2083333333333,95.62214275321811
openclaw,4,56.5,460.05833333333334,94.19151190082258
openclaw,4,57.5,409.80833333333334,94.08150038928724
openclaw,4,58.5,395.80833333333334,94.47548466162947
openclaw,4,59.5,411.85833333333335,94.68802575448392
openclaw,16,0.5,489.26666666666665,92.80335260500088
openclaw,16,1.5,453.95416666666665,92.63406518099366
openclaw,16,2.5,445.12083333333334,92.8445242732844
openclaw,16,3.5,427.7875,93.14032829009761
openclaw,16,4.5,451.4625,92.51959174090442
openclaw,16,5.5,457.0520833333333,92.71167289796894
openclaw,16,6.5,428.4583333333333,92.17884721263465
openclaw,16,7.5,439.22291666666666,93.83995480130241
openclaw,16,8.5,411.8,93.71220978668808
openclaw,16,9.5,430.45416666666665,94.28352116540165
openclaw,16,10.5,411.6645833333333,94.10409852821059
openclaw,16,11.5,438.06875,94.99628555142856
openclaw,16,12.5,413.20625,94.85130320999515
openclaw,16,13.5,416.1979166666667,94.92303811853492
openclaw,16,14.5,428.04583333333335,94.84950162781107
openclaw,16,15.5,438.725,94.85215210811599
openclaw,16,16.5,425.21458333333334,94.41410180631867
openclaw,16,17.5,449.5416666666667,94.6085266236853
openclaw,16,18.5,439.70416666666665,93.4120699052281
openclaw,16,19.5,464.04375,93.44482481737161
openclaw,16,20.5,451.725,94.54745933510591
openclaw,16,21.5,461.35625,94.75297341737462
openclaw,16,22.5,429.05625,93.16170595785995
openclaw,16,23.5,443.7104166666667,94.13372200394458
openclaw,16,24.5,443.82708333333335,94.53489094959747
openclaw,16,25.5,445.2104166666667,93.97160157936418
openclaw,16,26.5,467.34166666666664,93.78741148935258
openclaw,16,27.5,436.1479166666667,93.0442599350839
openclaw,16,28.5,434.64166666666665,93.76330300697198
openclaw,16,29.5,424.175,93.1513354501052
openclaw,16,30.5,434.62291666666664,94.172699332289
openclaw,16,31.5,441.13125,94.42393915722378
openclaw,16,32.5,410.8041666666667,94.1580538768359
openclaw,16,33.5,412.5395833333333,94.32770899065646
openclaw,16,34.5,416.68333333333334,94.44922044415131
openclaw,16,35.5,442.18958333333336,94.49839624596139
openclaw,16,36.5,431.9583333333333,94.24329912705906
openclaw,16,37.5,441.1645833333333,93.91449074486431
openclaw,16,38.5,452.05833333333334,94.00130386181117
openclaw,16,39.5,444.67083333333335,94.53104715907598
openclaw,16,40.5,423.90416666666664,93.87589020694348
openclaw,16,41.5,417.62916666666666,94.46570186366533
openclaw,16,42.5,418.9770833333333,94.81281326686998
openclaw,16,43.5,415.0125,94.55200946664065
openclaw,16,44.5,414.10833333333335,94.58190224496803
openclaw,16,45.5,438.8645833333333,94.1565922632642
openclaw,16,46.5,447.025,94.28829586415142
openclaw,16,47.5,420.20208333333335,93.19355036131655
openclaw,16,48.5,425.975,94.01030632485507
openclaw,16,49.5,440.91875,94.43229050915292
openclaw,16,50.5,444.6958333333333,92.94273090356418
openclaw,16,51.5,453.10833333333335,93.458192166696
openclaw,16,52.5,465.17291666666665,93.92769848111384
openclaw,16,53.5,465.1166666666667,93.96296805356477
openclaw,16,54.5,463.84583333333336,93.89618482150813
openclaw,16,55.5,472.0875,94.24904161306436
openclaw,16,56.5,467.5854166666667,93.4296074499792
openclaw,16,57.5,432.46458333333334,94.42604318501945
openclaw,16,58.5,436.7625,93.29151199964747
openclaw,16,59.5,442.68333333333334,93.77725448865532
openclaw,32,0.5,463.5052083333333,93.57134539499376
openclaw,32,1.5,444.84375,93.45959396658245
openclaw,32,2.5,440.84791666666666,93.2860879954505
openclaw,32,3.5,435.00104166666665,93.58732626665558
openclaw,32,4.5,446.271875,93.14695637988784
openclaw,32,5.5,444.3,93.1790939033798
openclaw,32,6.5,435.12708333333336,93.47135257732799
openclaw,32,7.5,440.00625,93.98265724329362
openclaw,32,8.5,426.67395833333336,94.12451610140084
openclaw,32,9.5,429.1302083333333,94.32135504274892
openclaw,32,10.5,426.090625,94.6472370509306
openclaw,32,11.5,435.29895833333336,94.62973698695617
openclaw,32,12.5,425.8697916666667,93.73515577840254
openclaw,32,13.5,424.70520833333336,94.57228175870044
openclaw,32,14.5,427.67604166666666,94.11159190754202
openclaw,32,15.5,451.29479166666664,93.97010381949613
openclaw,32,16.5,444.775,94.13786526344809
openclaw,32,17.5,447.71666666666664,94.14756412991511
openclaw,32,18.5,445.43645833333335,93.63456889048757
openclaw,32,19.5,447.34791666666666,93.60881142053458
openclaw,32,20.5,435.73020833333334,94.31167214166962
openclaw,32,21.5,448.41770833333334,94.47129151866841
openclaw,32,22.5,426.959375,93.49793394879556
openclaw,32,23.5,424.32604166666664,93.99915981984171
openclaw,32,24.5,428.18125,93.75476190505876
openclaw,32,25.5,448.525,94.00726754986772
openclaw,32,26.5,445.42291666666665,93.97323449182025
openclaw,32,27.5,441.87604166666665,93.76635511620738
openclaw,32,28.5,448.39479166666666,94.14547326699866
openclaw,32,29.5,438.3989583333333,93.83432646397435
openclaw,32,30.5,449.17395833333336,93.62807720728439
openclaw,32,31.5,461.7708333333333,94.14740827690153
openclaw,32,32.5,436.7375,93.58521452037785
openclaw,32,33.5,431.90833333333336,94.10182236943902
openclaw,32,34.5,423.6947916666667,93.6717580955521
openclaw,32,35.5,435.3385416666667,93.9148620699708
openclaw,32,36.5,426.8020833333333,93.4092062520587
openclaw,32,37.5,431.675,93.50340755165155
openclaw,32,38.5,443.9947916666667,94.02127909469179
openclaw,32,39.5,434.7395833333333,94.3683242452914
openclaw,32,40.5,434.571875,94.06487420171062
openclaw,32,41.5,435.1489583333333,94.28484363068519
openclaw,32,42.5,424.46666666666664,94.67652069197145
openclaw,32,43.5,421.61875,94.46368193582335
openclaw,32,44.5,430.04479166666664,94.37796484128279
openclaw,32,45.5,438.29270833333334,94.11919927313741
openclaw,32,46.5,444.90208333333334,94.45550508198274
openclaw,32,47.5,433.50416666666666,93.58413330205761
openclaw,32,48.5,435.18125,93.63233782968881
openclaw,32,49.5,449.62083333333334,93.88721882350562
openclaw,32,50.5,441.190625,93.28459861373496
openclaw,32,51.5,459.0083333333333,94.19013959199614
openclaw,32,52.5,456.4947916666667,93.91792518564684
openclaw,32,53.5,453.26666666666665,94.34540617171267
openclaw,32,54.5,450.75,94.17079966205533
openclaw,32,55.5,446.6333333333333,94.05331594617698
openclaw,32,56.5,448.815625,93.69184406382578
openclaw,32,57.5,435.228125,94.20603760539518
openclaw,32,58.5,435.48645833333336,93.91016388173487
openclaw,32,59.5,436.0072916666667,93.70604089917236
minisweagent,2,0.5,754.6,96.23329829818485
minisweagent,2,1.5,656.2,94.62255133451937
minisweagent,2,2.5,757.4166666666666,96.6377614985376
minisweagent,2,3.5,726.2666666666667,96.23208573994725
minisweagent,2,4.5,736.3333333333334,95.78427489095372
minisweagent,2,5.5,689.3166666666667,96.28397461696817
minisweagent,2,6.5,699.85,94.69683257918552
minisweagent,2,7.5,749.8166666666667,95.45005449171474
minisweagent,2,8.5,653.4166666666666,92.9246687642836
minisweagent,2,9.5,684.1333333333333,95.13922145784846
minisweagent,2,10.5,745.05,94.53726397440265
minisweagent,2,11.5,705.8166666666667,94.18734550044707
minisweagent,2,12.5,639.95,94.08273145409176
minisweagent,2,13.5,724.35,96.04121184489834
minisweagent,2,14.5,659.5833333333334,96.30146409632812
minisweagent,2,15.5,721.4,96.85047829075891
minisweagent,2,16.5,738.8,97.5901450962241
minisweagent,2,17.5,703.8,96.65296758892819
minisweagent,2,18.5,748.8333333333334,95.78331637843337
minisweagent,2,19.5,747.35,95.41946218667812
minisweagent,2,20.5,776.4666666666667,96.4269673685753
minisweagent,2,21.5,759.6166666666667,96.85430578460785
minisweagent,2,22.5,758.95,95.3825899020733
minisweagent,2,23.5,731.4833333333333,95.75951804636962
minisweagent,2,24.5,719.9833333333333,95.62582687414101
minisweagent,2,25.5,707.3666666666667,96.62861870447583
minisweagent,2,26.5,695.8833333333333,96.56486615091237
minisweagent,2,27.5,735.0,97.02773759925614
minisweagent,2,28.5,702.4333333333333,95.44919741762018
minisweagent,2,29.5,687.0,94.90996540222635
minisweagent,2,30.5,719.5333333333333,95.8967793165661
minisweagent,2,31.5,669.3,94.48196110625602
minisweagent,2,32.5,683.0,94.63007721918835
minisweagent,2,33.5,636.5833333333334,94.31423256945848
minisweagent,2,34.5,645.1166666666667,92.78799289293707
minisweagent,2,35.5,693.35,95.94867995024791
minisweagent,2,36.5,699.1666666666666,93.62420017428109
minisweagent,2,37.5,800.4166666666666,94.42201928189405
minisweagent,2,38.5,747.7666666666667,93.80848423859942
minisweagent,2,39.5,807.2166666666667,95.63881970571492
minisweagent,2,40.5,755.85,95.00539840649694
minisweagent,2,41.5,739.9333333333333,95.40684843836125
minisweagent,2,42.5,704.3166666666667,97.28427543131102
minisweagent,2,43.5,746.2833333333333,96.78217404639844
minisweagent,2,44.5,777.5666666666667,97.02284659840062
minisweagent,2,45.5,691.6166666666667,96.19014680885009
minisweagent,2,46.5,710.9,97.08812413128413
minisweagent,2,47.5,710.6333333333333,96.79489430290748
minisweagent,2,48.5,647.8833333333333,95.20916978532229
minisweagent,2,49.5,649.65,96.09021352592178
minisweagent,2,50.5,739.8,95.65513668953021
minisweagent,2,51.5,751.0166666666667,96.32020699329897
minisweagent,2,52.5,756.9,95.55825467221096
minisweagent,2,53.5,684.65,94.88256107422662
minisweagent,2,54.5,737.2166666666667,96.70275569902277
minisweagent,2,55.5,705.1,95.31389593796483
minisweagent,2,56.5,707.8,96.23789754418837
minisweagent,2,57.5,751.45,97.3610987795908
minisweagent,2,58.5,722.15,96.08861969987007
minisweagent,2,59.5,757.2,96.07451209461244
minisweagent,2,60.5,720.1333333333333,96.42386309185389
minisweagent,2,61.5,738.1666666666666,96.07042238370246
minisweagent,2,62.5,674.3166666666667,96.45317852905991
minisweagent,2,63.5,620.5666666666667,94.57538771690564
