budget,cc,minute_start,minute_end,samples,sampled_span_s,output_tokens_per_s,prompt_tokens_per_s,prefix_hit_percent,prompt_reuse_percent,prefix_query_amplification,prefill_compute_tokens_per_s,preemptions,recomputed_tokens,backend_running_mean,backend_waiting_mean,kv_mean_percent,completed_tasks
2048,32,27,28,60,59.155189037323,309.4403094283201,45167.77046074865,88.09988621575212,81.43573805684926,4.05070646145002,8385.063222214441,0.0,0.0,28.483333333333334,1.8333333333333333,60.18140901993203,1
2048,32,28,29,60,59.146727561950684,310.02560506485673,47710.48401696109,79.27259604627832,82.42050888065887,4.909885790485127,8387.260300756343,0.0,0.0,26.65,3.066666666666667,54.24818590980068,7
2048,32,29,30,60,59.15698742866516,149.61884275586272,27756.82250520327,58.03737269252033,62.09267909452439,8.582262592797852,10521.867780210676,0.0,0.0,24.6,6.833333333333333,50.6085239276201,1
8192,32,0,1,60,59.19360947608948,593.2903958861621,106211.02608279971,91.16084240584284,91.12955689298609,1.0173449589900707,9421.388642050462,0.0,0.0,26.95,0.0,38.558253340862045,11
8192,32,1,2,60,59.13993453979492,603.9742904342394,107737.75875102777,91.7668397262181,91.65164690084318,1.0586152246749798,8994.328521653526,0.0,0.0,26.716666666666665,0.06666666666666667,45.427253905514775,14
8192,32,2,3,60,59.141122817993164,652.0167044963197,99204.08542218283,91.18620607506743,92.22611534502657,1.070323865130651,7712.01117374181,0.0,0.0,27.466666666666665,0.11666666666666667,50.73546019198194,10
8192,32,3,4,60,59.14280414581299,610.5561026658964,113762.88454994277,91.57976649320139,92.02765174214537,1.0571617667342028,9069.573344502543,0.0,0.0,28.583333333333332,0.1,54.71955580651233,7
8192,32,4,5,59,58.15007162094116,597.7636661668726,107898.47415665917,92.52312601077135,92.0631196703252,1.092439097627402,8563.772771359143,0.0,0.0,27.45762711864407,0.06779661016949153,58.26354927312922,13
8192,32,5,6,60,59.14836239814758,571.2584191689846,94662.23193654054,91.88310383949789,91.79220434082809,1.0536104270745597,7769.6825637626225,0.0,0.0,29.25,0.06666666666666667,59.6588556371165,6
8192,32,6,7,60,59.14320778846741,447.23647886339023,84737.08456809875,89.68797132709493,88.81434218016798,1.1811455091494312,9478.40032628921,0.0,0.0,28.216666666666665,0.15,62.42471296819123,9
8192,32,7,8,60,59.153242349624634,417.7792969307425,77900.51427382563,88.95620757892473,88.93827087621102,1.1060639730142872,8617.143875009155,0.0,0.0,28.85,0.25,64.91530208921515,6
8192,32,8,9,60,59.151726484298706,447.7806747877551,63927.63533290523,84.12685934893308,89.33509280880513,1.0899590895507785,6817.82297777984,0.0,0.0,28.7,0.08333333333333333,61.131658196875584,8
8192,32,9,10,60,59.15452432632446,445.8999594771811,60621.07743809855,88.9302917649101,88.84389925184279,1.0602881586252804,6762.948473612677,0.0,0.0,27.55,0.03333333333333333,57.168737060041394,12
8192,32,10,11,60,59.15451121330261,468.1806920884839,69851.578776477,89.59603196686584,89.996892573056,0.9984840403132983,6987.3284644274145,0.0,0.0,29.7,0.05,57.59175607001694,4
