trace_id,cc,n_replays,mean_lifecycle_s,ratio_to_cc1
708b99c5-e4a7-49cb-a5cf-933c8d46470d,16,1,76.19674128992483,2.436824782561522
708b99c5-e4a7-49cb-a5cf-933c8d46470d,32,1,217.18186114903074,6.9456269731678395
708b99c5-e4a7-49cb-a5cf-933c8d46470d,64,1,1304.4529841749463,41.717313702812525
7619a514-5fa8-43ef-9143-83b66a43d7a4,1,1,34.77294600906316,1.0
7619a514-5fa8-43ef-9143-83b66a43d7a4,2,1,40.28927357704379,1.1586384877065883
7619a514-5fa8-43ef-9143-83b66a43d7a4,4,1,46.09336134593468,1.3255523801153053
7619a514-5fa8-43ef-9143-83b66a43d7a4,8,1,52.05422169098165,1.4969747365499122
7619a514-5fa8-43ef-9143-83b66a43d7a4,16,1,90.84186987101566,2.612429497556485
7619a514-5fa8-43ef-9143-83b66a43d7a4,32,1,268.9690442249412,7.7350088242404755
7619a514-5fa8-43ef-9143-83b66a43d7a4,64,1,1363.468109035981,39.21060092753167
851e570a-e3de-4d84-bcfa-cc85578baa59,1,1,29.754472428932786,1.0
851e570a-e3de-4d84-bcfa-cc85578baa59,2,1,31.046272380044684,1.0434153203084782
851e570a-e3de-4d84-bcfa-cc85578baa59,4,1,37.60958139493596,1.2639975884218666
851e570a-e3de-4d84-bcfa-cc85578baa59,8,2,50.59516440203879,1.7004221641934016
851e570a-e3de-4d84-bcfa-cc85578baa59,16,2,74.56457154202508,2.5059954169955185
851e570a-e3de-4d84-bcfa-cc85578baa59,32,1,202.477371328976,6.804939049502022
851e570a-e3de-4d84-bcfa-cc85578baa59,64,1,734.2428333919961,24.676721630528046
87c610df-bef7-4932-b950-1d83ef4e282b,1,1,29.65121585992165,1.0
87c610df-bef7-4932-b950-1d83ef4e282b,2,1,30.343071994022466,1.023333145506386
87c610df-bef7-4932-b950-1d83ef4e282b,4,1,35.79106638999656,1.2070690982481396
87c610df-bef7-4932-b950-1d83ef4e282b,8,1,53.18812164408155,1.7937922645517477
87c610df-bef7-4932-b950-1d83ef4e282b,16,1,72.49360577494372,2.4448780150337917
87c610df-bef7-4932-b950-1d83ef4e282b,32,1,205.7575247490313,6.939260963903521
87c610df-bef7-4932-b950-1d83ef4e282b,64,1,832.615830524941,28.0803267717043
983bba7c-c092-455f-b6c9-7857003d48fc,1,1,66.84534017194528,1.0
983bba7c-c092-455f-b6c9-7857003d48fc,2,1,73.50079972797539,1.0995650487963764
983bba7c-c092-455f-b6c9-7857003d48fc,4,1,85.82550580904353,1.28394149223081
983bba7c-c092-455f-b6c9-7857003d48fc,8,2,129.39980048249708,1.9358088409699747
983bba7c-c092-455f-b6c9-7857003d48fc,16,2,187.32512565003708,2.802366255720794
983bba7c-c092-455f-b6c9-7857003d48fc,32,1,643.679303064011,9.629381814922091
983bba7c-c092-455f-b6c9-7857003d48fc,64,1,3079.5212150160223,46.06934764778839
b9763138-c053-4832-9f55-86200cb1f99c,1,1,23.97108675201889,1.0
b9763138-c053-4832-9f55-86200cb1f99c,2,1,24.644456124980934,1.028090898836922
b9763138-c053-4832-9f55-86200cb1f99c,4,1,26.979734478052706,1.1255115279986385
b9763138-c053-4832-9f55-86200cb1f99c,8,2,40.576346412533894,1.692720352326808
b9763138-c053-4832-9f55-86200cb1f99c,16,1,57.96473358699586,2.4181103754970126
b9763138-c053-4832-9f55-86200cb1f99c,32,1,125.07644422107842,5.21780449568246
b9763138-c053-4832-9f55-86200cb1f99c,64,1,448.4330454650335,18.707247197595894
bec74516-02fc-48dc-b202-55e78d0e17cf,1,1,43.92331297195051,1.0
bec74516-02fc-48dc-b202-55e78d0e17cf,2,1,48.58348605001811,1.106097941224142
bec74516-02fc-48dc-b202-55e78d0e17cf,4,1,60.26517093798611,1.3720543114876498
