cc,minute_start,minute_end,samples,sampled_span_s,output_tokens_per_s,prompt_tokens_per_s,prefix_hit_percent,preemptions,recomputed_tokens,backend_running_mean,backend_waiting_mean,kv_mean_percent,completed_tasks
8,18,19,60,59.15074443817139,316.783840642721,60674.756236608926,93.92798397539491,0.0,0.0,6.15,0.05,16.570680628272257,5
8,19,20,60,59.1598265171051,286.8669669795788,51909.009555869656,88.73809648554793,0.0,0.0,5.866666666666666,0.05,18.479838339303754,5
8,20,21,60,59.158021688461304,293.4006159199448,54988.485198694456,95.53532273220073,0.0,0.0,5.483333333333333,0.0,17.332139248645174,5
8,21,22,60,59.162134408950806,331.76625887639415,35171.00964641991,91.40359250453858,0.0,0.0,6.25,0.06666666666666667,14.745108845411956,3
8,22,23,60,59.15492558479309,301.12454413397444,38097.06423803428,92.59852977500312,0.0,0.0,5.933333333333334,0.016666666666666666,17.11766326811794,7
8,23,24,59,58.15264344215393,324.88634878298177,72388.14524721252,96.46255332515935,0.0,0.0,6.372881355932203,0.0,17.24199130357618,3
8,24,25,60,59.22352194786072,266.31310467968075,61706.34369258425,92.70813632687123,0.0,0.0,6.433333333333334,0.08333333333333333,19.629833746670343,3
8,25,26,60,59.154828786849976,335.4248572250258,92238.35334999628,97.27468757298168,0.0,0.0,6.783333333333333,0.05,22.887847891981266,2
8,26,27,60,59.157881021499634,357.4671647267857,58356.97527342716,97.85811808460032,0.0,0.0,6.183333333333334,0.0,20.130430789014422,5
8,27,28,60,59.161460161209106,304.87753261753454,54860.596597108524,94.11840478275344,0.0,0.0,6.3,0.06666666666666667,16.901350234224306,4
8,28,29,60,59.155683755874634,327.9989135122308,61145.19806629392,95.7259343330677,0.0,0.0,6.433333333333334,0.05,17.98153761366768,3
8,29,30,59,58.15680932998657,310.69448630640983,92546.94440784657,97.30372027069488,0.0,0.0,6.440677966101695,0.01694915254237288,21.231510758438382,3
16,0,1,60,59.14307761192322,475.05136922965704,75326.0428757578,91.71356922082087,0.0,0.0,12.4,0.05,18.781115091393406,8
16,1,2,60,59.14938545227051,491.1293630166514,81024.62879968998,93.45904510507314,0.0,0.0,12.7,0.03333333333333333,22.246716267107562,8
16,2,3,60,59.19597864151001,440.92522159431263,78596.57204378839,92.66796282750143,0.0,0.0,13.5,0.11666666666666667,26.622577385873058,4
16,3,4,60,59.14758110046387,445.12386660886665,84105.21457420997,93.25102756161589,0.0,0.0,13.016666666666667,0.1,27.655919904473226,7
16,4,5,59,58.14420437812805,419.3195222251822,111170.39211618334,95.28321287360762,0.0,0.0,12.779661016949152,0.05084745762711865,30.203492580951004,8
16,5,6,60,59.142340421676636,462.2407534954463,114666.58153275271,95.78455410912345,0.0,0.0,13.333333333333334,0.03333333333333333,30.177734913199227,7
16,6,7,60,59.149001359939575,433.363191442835,68393.90195926264,92.7773060877275,0.0,0.0,12.5,0.0,26.9086984476899,8
16,7,8,60,59.25688815116882,412.7958919745858,49502.042572955135,84.54936093985252,0.0,0.0,13.366666666666667,0.16666666666666666,27.06025535041794,8
16,8,9,60,59.14873003959656,421.446073031698,39828.93628355015,87.60912720411643,0.0,0.0,13.266666666666667,0.2,23.325525856526134,7
16,9,10,60,59.14652967453003,390.08205767878513,31550.202696060842,89.3286968561395,0.0,0.0,13.683333333333334,0.08333333333333333,24.87737668779278,7
16,10,11,59,58.15586304664612,380.8730339404258,36621.53544676566,86.35009978450088,0.0,0.0,13.457627118644067,0.288135593220339,25.408316247180206,6
16,11,12,60,59.14873266220093,389.7632115241023,49322.71358477225,92.75196613882923,0.0,0.0,14.066666666666666,0.1,31.546339671167445,5
16,12,13,60,59.15916109085083,334.82557282346886,53803.721035054696,93.06087488032095,0.0,0.0,13.466666666666667,0.2,33.38844493432535,4
16,13,14,60,59.14729309082031,419.7656173694501,53048.68297492671,91.36364552499016,0.0,0.0,13.383333333333333,0.08333333333333333,27.597134196748417,6
16,14,15,60,59.1514527797699,393.68432905107403,47347.49306035379,89.8908640009239,0.0,0.0,12.95,0.13333333333333333,26.45540552953063,8
16,15,16,60,59.15141534805298,447.867558943744,57086.461585591605,92.15579321264093,0.0,0.0,13.15,0.08333333333333333,29.15082208138146,7
16,16,17,59,58.156333446502686,396.7581625692668,54069.86330891359,91.2182349441451,0.0,0.0,13.677966101694915,0.01694915254237288,30.63364329716829,5
16,17,18,60,59.15586805343628,413.0782085375983,58504.880646391946,91.52172626345472,0.0,0.0,13.95,0.1,36.561036098098654,4
16,18,19,60,59.15574502944946,429.8145511875844,83935.88818005983,96.00250908312239,0.0,0.0,13.25,0.08333333333333333,34.9972444199504,7
16,19,20,60,59.1460075378418,418.3038049384928,71151.90314929515,94.93280780858397,0.0,0.0,13.666666666666666,0.11666666666666667,36.48847249012584,5
16,20,21,60,59.15414237976074,394.30881864970655,62250.34886584546,92.5438029583397,0.0,0.0,13.8,0.15,31.28731514650501,6
16,21,22,60,59.14893198013306,388.47700593677416,97985.96197724553,96.13675312561011,0.0,0.0,12.416666666666666,0.08333333333333333,29.11454027739506,5
16,22,23,60,59.15266704559326,345.715603731573,88603.17314112469,94.88121159407264,0.0,0.0,13.883333333333333,0.13333333333333333,36.52613208413704,5
16,23,24,59,58.147743463516235,431.62465996203775,90201.07552911103,96.06909404467191,0.0,0.0,13.508474576271187,0.06779661016949153,37.17511010644012,4
16,24,25,60,59.1541428565979,420.8834546103655,50326.43287921382,92.97286105334312,0.0,0.0,12.3,0.05,26.69146688711307,7
16,25,26,60,59.15361714363098,451.62073411560397,48084.6503958254,92.13235035465982,0.0,0.0,13.966666666666667,0.08333333333333333,26.32956737393221,5
16,26,27,60,59.15988898277283,374.27385988583717,71154.68051716246,93.32015766547603,0.0,0.0,14.4,0.11666666666666667,31.764030495085887,3
16,27,28,60,59.1597216129303,343.2064831684779,87026.27158534032,94.34932792095891,0.0,0.0,14.033333333333333,0.21666666666666667,37.892440525397255,4
16,28,29,60,59.15290451049805,359.54278451746194,88517.61453354734,95.67963144352846,0.0,0.0,13.65,0.1,39.50078074768072,5
16,29,30,59,58.144450426101685,373.99957933453925,62670.778953036366,95.99737141887415,0.0,0.0,13.474576271186441,0.2033898305084746,40.989953809005605,6
32,0,1,60,59.14976191520691,542.876234160201,91373.67294475093,90.79233562709683,0.0,0.0,27.716666666666665,0.26666666666666666,37.29631670800037,9
32,1,2,60,59.17515826225281,522.533456741495,93414.5875115663,90.95426002902408,0.0,0.0,26.283333333333335,0.6,43.66354367594378,10
32,2,3,60,59.141136169433594,453.1871001465863,71805.29957750169,89.47018798085784,0.0,0.0,25.833333333333332,1.75,44.11683659410306,10
32,3,4,60,59.14829874038696,496.43017001857896,76398.00461267564,91.44205705700008,0.0,0.0,27.983333333333334,1.0666666666666667,50.23560209424084,6
32,4,5,59,58.14928460121155,424.1668692771175,76761.15072801773,90.69230558308324,0.0,0.0,28.050847457627118,1.4576271186440677,51.03054023380397,7
32,5,6,60,59.15373611450195,435.7459341216629,87822.7875572241,90.45610665032969,0.0,0.0,27.4,1.7833333333333334,55.7339028198769,7
32,6,7,60,59.154494524002075,406.24132102505524,68436.23688403572,86.79795796607478,0.0,0.0,28.0,1.75,53.77927803802701,7
32,7,8,60,59.155925273895264,432.48414899343794,71301.8515131115,89.41445182145726,0.0,0.0,28.283333333333335,1.2666666666666666,58.766877927803804,6
32,8,9,60,59.159531354904175,220.30262413361052,30663.630330628373,36.96184901157294,0.0,0.0,22.283333333333335,7.233333333333333,45.813355377973735,7
32,9,10,60,59.15966272354126,210.870032479679,45926.157704730125,67.82793610734417,0.0,0.0,23.733333333333334,7.266666666666667,45.34306971617526,1
32,10,11,60,59.15757513046265,256.50138577411514,35923.10866889618,76.94617865088868,0.0,0.0,27.1,2.8333333333333335,58.81418205198862,5
32,11,12,59,58.1651828289032,110.08303745618501,13295.90938061499,12.272143557139623,0.0,0.0,19.694915254237287,11.508474576271187,42.712891911204935,1
32,12,13,60,59.16353249549866,110.21992306656364,11103.63043400056,17.736393604095547,0.0,0.0,19.4,12.133333333333333,41.823275466152296,1
32,13,14,60,59.15887928009033,105.39415343688505,12938.125422832238,20.018297490456977,0.0,0.0,18.516666666666666,12.766666666666667,38.172591163773305,2
32,14,15,60,59.16565418243408,101.19046400703034,11269.325239675218,21.874653081374827,0.0,0.0,18.1,13.433333333333334,39.81859098006797,1
32,15,16,60,59.20681810379028,85.8009290601413,12279.987732586078,41.050870899167364,0.0,0.0,15.266666666666667,16.283333333333335,33.938183154220624,1
32,16,17,59,58.229262590408325,148.20726926776427,23232.786056659446,32.10336641601401,0.0,0.0,19.677966101694917,11.11864406779661,42.50739102614999,3
32,17,18,60,59.15956449508667,370.43883245320524,45924.59432701948,85.98232115345506,0.0,0.0,27.85,0.9333333333333333,51.8329199963259,8
32,18,19,60,59.15177011489868,349.27103550526414,51457.88526848067,88.27099272992794,0.0,0.0,27.866666666666667,1.7,51.965647102048315,6
32,19,20,60,59.155962228775024,346.69370976817413,57030.430625958914,86.01910002618159,0.0,0.0,29.316666666666666,1.0,56.026453568476164,4
