run,workload,group,start_unix,duration_seconds,output_tokens,completed_tasks,prompt_tokens,cached_prompt_tokens,output_tokens_per_second,tasks_per_second,actual_prefix_reuse,frontend_cpu_percent,minute,tasks_per_minute,waiting_per_replica_mean,running_per_replica_mean,kv_cache_per_replica_mean
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790013054.3432715,60.0,96071.0,22.0,15618471.0,14166240.0,1601.1833333333334,0.36666666666666664,0.907018363065117,11.210312961609098,32.0,22.0,0.38333333333333336,13.291666666666666,0.28113824581215885
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790013114.3432715,60.0,89748.0,23.0,13097670.0,11502480.0,1495.8,0.38333333333333336,0.8782081087704913,12.111659049284334,33.0,23.0,0.20920502092050208,13.330543933054393,0.2803146462415154
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790013174.3432715,60.0,88589.0,23.0,17835928.0,16181088.0,1476.4833333333333,0.38333333333333336,0.9072187328856677,12.39861854571472,34.0,23.0,0.16666666666666666,13.283333333333333,0.2989330415960851
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790013234.3432715,60.0,95837.0,26.0,18058808.0,16736016.0,1597.2833333333333,0.43333333333333335,0.9267508686066102,15.369614092963737,35.0,26.0,0.016736401673640166,13.209205020920502,0.2684982835974286
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790013294.3432715,60.0,93263.0,23.0,15255017.0,13570128.0,1554.3833333333334,0.38333333333333336,0.8895518110533734,13.661076015719923,36.0,23.0,0.34309623430962344,13.04602510460251,0.2660447611329911
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790013354.3432715,60.0,95168.0,30.0,14361700.0,12806112.0,1586.1333333333334,0.5,0.8916849676570322,16.99621808929008,37.0,30.0,0.08368200836820083,12.539748953974895,0.2505947754265018
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790013414.3432715,60.0,89759.0,26.0,16684184.0,14304576.0,1495.9833333333333,0.43333333333333335,0.857373426234091,15.024080193406276,38.0,26.0,0.17916666666666667,12.883333333333333,0.2261340109166196
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790013474.3432715,60.0,88707.0,25.0,16616714.0,14494656.0,1478.45,0.4166666666666667,0.8722937639776432,15.08395355541942,39.0,25.0,0.26666666666666666,12.9375,0.2536843591191417
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790013534.3432715,60.0,97846.0,24.0,15784789.0,14227488.0,1630.7666666666667,0.4,0.9013416650675533,14.069970675376972,40.0,24.0,0.12552301255230125,12.96234309623431,0.25404175595188877
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790013594.3432715,60.0,91693.0,33.0,12651317.0,10949136.0,1528.2166666666667,0.55,0.8654542448031299,19.14330281573031,41.0,33.0,0.28870292887029286,12.225941422594142,0.24784002608270392
