run,workload,replica,minute_from_warmup_start,measurement_minute,requests,prefix_reuse,prompt_tokens_mean,uncached_tokens_mean,queue_seconds_mean,prefill_seconds_mean,decode_seconds_mean,residence_seconds_mean
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,5,-5.0,78,0.7472476920342509,40466.03846153846,10227.884615384615,0.1924741718565854,0.6574533770565326,6.4800716785337915,7.329999226790208
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,6,-4.0,65,0.8095302894784473,46579.26153846154,8871.938461538462,0.16957329149143055,0.5541890405190105,5.6674458018969744,6.391208120492789
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,7,-3.0,43,0.8638184314843123,49368.25581395349,6723.046511627907,0.007438776435243876,0.3545370511494057,3.550823222910769,3.912799031235451
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,8,-2.0,33,0.6764151078098054,38201.393939393936,12361.39393939394,0.23850692448798905,0.7328954827125099,6.31778214702552,7.289184555862889
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,9,-1.0,48,0.8644322519439985,41878.354166666664,5677.354166666667,0.1749507378359946,0.370875872123482,1.7659293704976637,2.31175597012043
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,10,0.0,43,0.8045647133729862,39009.04651162791,7623.7441860465115,6.9512130129475925e-06,0.342565432613239,1.4757906059507107,1.8183629845463953
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,11,1.0,33,0.8283380151019251,56440.72727272727,9688.727272727272,7.977038904121429e-06,0.44866373605151294,2.282903221111293,2.7315749327341714
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,12,2.0,31,0.727450883217105,45562.903225806454,12418.129032258064,0.00788875465701905,0.5629670678848221,4.518336374342682,5.089192213550691
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,13,3.0,29,0.7229223999822563,40422.137931034486,11200.068965517241,0.05229456178394371,0.4994289578372163,1.5792631403350368,2.13098668229991
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,14,4.0,35,0.7099121846758664,53635.28571428572,15558.942857142858,0.5772569142614624,0.8895249180030078,4.300883450365759,5.767665324892317
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,15,5.0,38,0.7777718325353629,49181.78947368421,10929.578947368422,0.027854550053904716,0.5709345534345821,3.6603890397083503,4.259178136524401
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,16,6.0,31,0.7919101330651044,50414.32258064516,10490.709677419354,7.582437847891162e-06,0.542883237147884,1.9361276437017707,2.479018465165169
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,17,7.0,35,0.7742064954689852,42711.97142857143,9644.085714285715,6.688532552548817e-06,0.4064660798558699,2.1052530942418213,2.5117258412497385
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,18,8.0,45,0.5833699210050914,32241.17777777778,13432.644444444444,0.1125558550366097,0.591913149976689,2.4264657725786996,3.1309347841474744
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,19,9.0,50,0.7777944390974086,30276.38,6727.58,0.015777419293299316,0.31551050378475337,2.877694721799344,3.2089826440811158
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,20,10.0,43,0.6976754281249322,35358.348837209305,10689.697674418605,0.09372666717485287,0.5383606818991952,2.8869097551200973,3.5189971036689225
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,21,11.0,41,0.761987136109537,25266.414634146342,6013.731707317073,5.895447939997766e-06,0.2774709029884146,2.5143581013672236,2.791834895203753
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,22,12.0,46,0.842638136041218,41328.586956521736,6503.54347826087,5.6458090472480524e-06,0.308361819626399,1.8460231115434156,2.154390547586524
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,23,13.0,36,0.791191957417693,46566.02777777778,9723.361111111111,0.10084067426052773,0.5028806662174046,3.829101529754957,4.43282288312912
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,24,14.0,42,0.8722476091769915,37905.357142857145,4842.5,6.372447214311078e-06,0.24220478737593762,2.2304789177031212,2.472690071378435
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,25,15.0,31,0.7625223150324283,47956.967741935485,11388.709677419354,8.729324045200502e-06,0.47712936084867724,1.781197442665636,2.2583355365260953
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,26,16.0,31,0.8310803766897175,40844.77419354839,6899.4838709677415,9.463566745961866e-06,0.32552942373008736,1.41277499544254,1.7383138902725712
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,27,17.0,30,0.8005834177155419,44473.566666666666,8868.766666666666,8.723908104002476e-06,0.4269450304331258,2.017126727849245,2.4440805117289224
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,28,18.0,32,0.9045725993959567,66085.90625,6306.40625,9.997755114454776e-06,0.3458852369876695,1.2505755086021964,1.5964707657694817
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,29,19.0,23,0.7244012450904289,33718.52173913043,9292.782608695652,9.838309462951576e-06,0.3964297639651467,1.8091029600220043,2.205542533294014
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,30,20.0,25,0.7683993607536378,45653.76,10573.44,7.247067987918853e-06,0.544654764411971,2.67650370019488,3.2211656951904297
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,31,21.0,28,0.8663517460634182,80186.5,10716.785714285714,5.86775630446417e-06,0.6153017453450177,3.478713830824875,4.094021439552307
